ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WinnerID,LoserID,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Nieminen J.,234,520,52,88,850,568,6,3,4,6,6,4,,,,,2,1,Completed,1.44,2.62
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Odesnik W.,Clement A.,530,128,105,63,521,667,6,4,7,6,,,,,,,2,0,Completed,2.25,1.57
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Gicquel M.,Petzschner P.,242,554,58,80,744,587,6,3,6,1,,,,,,,2,0,Completed,1.61,2.2
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Falla A.,Chardy J.,209,117,81,32,587,1102,6,4,6,4,,,,,,,2,0,Completed,2.62,1.44
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Levy H.,Llodra M.,418,426,119,67,461,649,6,2,6,0,,,,,,,2,0,Completed,3,1.36
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Bellucci T.,Chela J.I.,62,118,36,73,1021,611,6,3,3,6,6,1,,,,,2,1,Completed,1.61,2.2
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Millman J.,684,479,12,306,2625,137,6,4,6,0,,,,,,,2,0,Completed,1.04,10
1,Brisbane,Brisbane International,1/4/2010,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Luczak P.,599,436,7,77,4410,598,7,6,6,2,,,,,,,2,0,Completed,1.08,7
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Tomic B.,179,703,131,286,413,150,6,4,6,4,,,,,,,2,0,Completed,1.72,2
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Lindahl N.,68,421,20,251,1655,179,6,2,6,4,,,,,,,2,0,Completed,1.12,5.5
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Baghdatis M.,Fish M.,37,216,42,55,945,790,7,5,7,5,,,,,,,2,0,Completed,1.36,3
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Ball C.,Zverev M.,44,782,134,78,400,590,7,5,6,1,,,,,,,2,0,Completed,2.1,1.66
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Blake J.,Querrey S.,76,572,44,25,935,1320,4,6,6,3,6,4,,,,,2,1,Completed,1.72,2
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Ebden M.,Melzer J.,191,472,285,28,151,1260,7,5,6,1,,,,,,,2,0,Completed,5,1.14
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Reister J.,644,586,65,173,665,284,6,7,7,6,7,5,,,,,2,1,Completed,1.44,2.62
1,Brisbane,Brisbane International,1/5/2010,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Dent T.,490,167,13,76,2610,602,7,6,6,7,6,2,,,,,2,1,Completed,1.22,4
1,Brisbane,Brisbane International,1/6/2010,ATP250,Outdoor,Hard,2nd Round,3,Blake J.,Gicquel M.,76,242,44,58,935,744,6,3,3,6,7,6,,,,,2,1,Completed,1.36,3
1,Brisbane,Brisbane International,1/6/2010,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Dolgopolov O.,684,179,12,131,2625,413,5,7,7,6,6,2,,,,,2,1,Completed,1.12,5.5
1,Brisbane,Brisbane International,1/6/2010,ATP250,Outdoor,Hard,2nd Round,3,Odesnik W.,Falla A.,530,209,105,81,521,587,6,7,6,2,6,1,,,,,2,1,Completed,2.25,1.57
1,Brisbane,Brisbane International,1/6/2010,ATP250,Outdoor,Hard,2nd Round,3,Roddick A.,Ball C.,599,44,7,134,4410,400,7,6,6,3,,,,,,,2,0,Completed,1.06,8
1,Brisbane,Brisbane International,1/6/2010,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Ebden M.,234,191,52,285,850,151,6,3,6,4,,,,,,,2,0,Completed,1.2,4.33
1,Brisbane,Brisbane International,1/6/2010,ATP250,Outdoor,Hard,2nd Round,3,Bellucci T.,Levy H.,62,418,36,119,1021,461,6,4,4,6,6,4,,,,,2,1,Completed,1.4,2.75
1,Brisbane,Brisbane International,1/6/2010,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Serra F.,490,644,13,65,2610,665,6,7,7,6,6,1,,,,,2,1,Completed,1.16,4.5
