,ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WinnerID,LoserID,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,full_date
23723,1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Kudla D.,Fritz T.,384,221,63.0,49.0,810.0,974.0,7.0,6.0,6.0,7.0,6.0,4.0,,,,,2.0,1.0,Completed,2.62,1.44,2019-01-01
23724,1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Chardy J.,Struff J.L.,117,686,40.0,57.0,1050.0,875.0,4.0,6.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.1,1.66,2019-01-01
23725,1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Duckworth J.,505,186,240.0,234.0,200.0,206.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.28,3.5,2019-01-01
23726,1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Kyrgios N.,Harrison R.,398,295,35.0,62.0,1125.0,810.0,7.0,6.0,5.0,7.0,7.0,6.0,,,,,2.0,1.0,Completed,1.4,2.75,2019-01-01
23727,1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Kokkinakis T.,716,367,239.0,146.0,200.0,367.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.25,1.57,2019-01-01
23728,1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,De Minaur A.,Popyrin A.,152,562,31.0,147.0,1298.0,367.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.2,4.33,2019-01-01
23729,1,Brisbane,Brisbane International,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Thompson J.,Bolt A.,700,84,72.0,154.0,715.0,352.0,6.0,3.0,6.0,0.0,,,,,,,2.0,0.0,Completed,1.33,3.25,2019-01-01
23730,1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Dimitrov G.,Millman J.,173,479,19.0,38.0,1835.0,1083.0,6.0,3.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.4,2.75,2019-01-02
23731,1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Uchiyama Y.,Edmund K.,719,192,185.0,14.0,275.0,2150.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,4.0,1.22,2019-01-02
23732,1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Kudla D.,524,384,9.0,63.0,3590.0,810.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,2019-01-02
23733,1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Raonic M.,Kecmanovic M.,582,342,18.0,131.0,1855.0,433.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.2,4.33,2019-01-02
23734,1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Chardy J.,Kyrgios N.,117,398,40.0,35.0,1050.0,1125.0,6.0,7.0,6.0,2.0,6.0,3.0,,,,,2.0,1.0,Completed,3.0,1.36,2019-01-02
23735,1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Medvedev D.,Murray A.,466,505,16.0,240.0,1977.0,200.0,7.0,5.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.83,1.83,2019-01-02
23736,1,Brisbane,Brisbane International,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,De Minaur A.,Thompson J.,152,700,31.0,72.0,1298.0,715.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.36,3.0,2019-01-02
23737,1,Brisbane,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Daniel T.,716,142,239.0,77.0,200.0,691.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.25,3.75,2019-01-03
23738,1,Brisbane,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Chardy J.,Uchiyama Y.,117,719,40.0,185.0,1050.0,275.0,6.0,4.0,3.0,6.0,7.0,6.0,,,,,2.0,1.0,Completed,1.61,2.3,2019-01-03
23739,1,Brisbane,Brisbane International,1/3/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Nishikori K.,Dimitrov G.,524,173,9.0,19.0,3590.0,1835.0,7.0,5.0,7.0,5.0,,,,,,,2.0,0.0,Completed,1.61,2.3,2019-01-03
23740,1,Brisbane,Brisbane International,1/4/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Medvedev D.,Raonic M.,466,582,16.0,18.0,1977.0,1855.0,6.0,7.0,6.0,3.0,6.0,4.0,,,,,2.0,1.0,Completed,2.0,1.8,2019-01-04
23741,1,Brisbane,Brisbane International,1/4/2019,ATP250,Outdoor,Hard,Quarterfinals,3,Tsonga J.W.,De Minaur A.,716,152,239.0,31.0,200.0,1298.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,2.5,1.53,2019-01-04
23742,1,Brisbane,Brisbane International,1/5/2019,ATP250,Outdoor,Hard,Semifinals,3,Nishikori K.,Chardy J.,524,117,9.0,40.0,3590.0,1050.0,6.0,2.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.16,5.0,2019-01-05
23743,1,Brisbane,Brisbane International,1/5/2019,ATP250,Outdoor,Hard,Semifinals,3,Medvedev D.,Tsonga J.W.,466,716,16.0,239.0,1977.0,200.0,7.0,6.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.3,2019-01-05
23744,1,Brisbane,Brisbane International,1/6/2019,ATP250,Outdoor,Hard,The Final,3,Nishikori K.,Medvedev D.,524,466,9.0,16.0,3590.0,1977.0,6.0,4.0,3.0,6.0,6.0,2.0,,,,,2.0,1.0,Completed,1.57,2.37,2019-01-06
23752,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Berankis R.,Goffin D.,67,250,116.0,22.0,507.0,1785.0,3.0,6.0,6.0,4.0,7.0,6.0,,,,,2.0,1.0,Completed,3.4,1.3,2019-01-01
23753,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Pella G.,Ilkel C.,553,313,58.0,249.0,860.0,183.0,7.0,6.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.18,4.5,2019-01-01
23754,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Cecchinato M.,Stakhovsky S.,111,680,20.0,134.0,1819.0,424.0,6.0,4.0,6.0,2.0,,,,,,,2.0,0.0,Completed,2.0,1.72,2019-01-01
23755,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Lajovic D.,Mannarino A.,402,445,48.0,42.0,985.0,1045.0,6.0,3.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.66,2.1,2019-01-01
23756,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Zayed M.S.,231,772,105.0,,543.0,,6.0,1.0,6.0,3.0,,,,,,,2.0,0.0,Completed,1.01,26.0,2019-01-01
23757,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Wawrinka S.,Khachanov K.,752,345,66.0,11.0,785.0,2835.0,7.0,6.0,6.0,4.0,,,,,,,2.0,0.0,Completed,2.75,1.4,2019-01-01
23758,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Fucsovics M.,Copil M.,222,130,36.0,60.0,1122.0,823.0,6.0,3.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.61,2.2,2019-01-01
23759,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Djokovic N.,Dzumhur D.,176,190,1.0,47.0,9045.0,985.0,6.0,1.0,6.0,2.0,,,,,,,2.0,0.0,Completed,1.05,11.0,2019-01-01
23760,2,Doha,Qatar Exxon Mobil Open,1/1/2019,ATP250,Outdoor,Hard,1st Round,3,Herbert P.H..,Thiem D.,297,698,55.0,8.0,903.0,4095.0,6.0,3.0,7.0,5.0,,,,,,,2.0,0.0,Completed,3.75,1.25,2019-01-01
23761,2,Doha,Qatar Exxon Mobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Lajovic D.,Berankis R.,402,67,48.0,116.0,985.0,507.0,7.0,6.0,0.0,6.0,7.0,5.0,,,,,2.0,1.0,Completed,1.66,2.1,2019-01-02
23762,2,Doha,Qatar Exxon Mobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Bautista Agut R.,Garcia-Lopez G.,54,231,24.0,105.0,1605.0,543.0,6.0,1.0,6.0,4.0,,,,,,,2.0,0.0,Completed,1.22,4.0,2019-01-02
23763,2,Doha,Qatar Exxon Mobil Open,1/2/2019,ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Jarry N.,752,322,66.0,43.0,785.0,1022.0,6.0,4.0,7.0,6.0,,,,,,,2.0,0.0,Completed,1.36,3.0,2019-01-02
