,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Clusters,InProbability,OutProbability,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating,TrueDiff,ELODiff,RatingError,HomeDiff,AwayDiff,TotalDiff,ClusterHome,ClusterAway,Init_Rounds,Split_Rounds
27867443,27867443,171,191,0,81,away,0.55-0.25-0.20,0.42-0.29-0.29,15,10,1.0,1.0,0.34107537736915033,1143.3788576917016,1057.0762502468374,1094.5701926984327,1096.0367419665629,86.30260744486418,-1.4665492681301657,84.83605817673401,48.80866499326885,-38.960491719725496,87.76915671299435,1,1,79,198
27867955,27867955,191,181,0,86,home,0.25-0.27-0.48,0.35-0.29-0.35,15,10,1.0,1.0,0.2707664114288837,1053.1450054209026,1187.5697571546875,1115.642736471509,1165.3152716021116,-134.4247517337849,-49.67253513060268,84.7522166031822,-62.49773105060626,22.254485552575943,84.7522166031822,1,1,79,198
27870654,27870654,91,81,0,113,home,0.70-0.19-0.12,0.74-0.16-0.10,15,10,1.0,1.0,0.03824433332615477,1082.651640615534,894.8551601031418,1089.579231722296,864.8655274161682,187.79648051239224,224.71370430612785,36.917223793735616,-6.9275911067620655,29.98963268697355,36.917223793735616,1,1,79,198
27871142,27871142,71,91,0,118,away,0.34-0.29-0.37,0.29-0.28-0.43,15,10,1.0,1.0,0.20339311682849667,1018.0982365210505,1082.1932565821367,989.6418978774533,1092.4688332193266,-64.09502006108619,-102.82693534187331,38.73191528078712,28.456338643597178,-10.275576637189943,38.73191528078712,1,1,79,198
27871644,27871644,91,61,0,123,draw,0.41-0.29-0.30,0.58-0.24-0.18,15,10,1.0,1.0,0.18551501455069366,1073.3620504835087,1084.4209865788907,1101.825998017219,996.1744059039188,-11.058936095382023,105.65159211330024,94.59265601791822,-28.463947533710325,88.24658067497194,116.71052820868226,1,1,79,198
27871654,27871654,81,71,0,123,draw,0.25-0.28-0.47,0.29-0.29-0.42,15,10,1.0,1.0,0.13128521441739807,889.773394374601,1021.7799626450923,879.6418090298149,975.6033142699923,-132.00656827049124,-95.96150524017742,36.04506303031383,10.131585344786117,46.176648375099944,56.30823371988606,1,1,79,198
27872122,27872122,61,81,0,128,home,0.71-0.18-0.11,0.59-0.24-0.18,15,10,1.0,1.0,0.10131781001298157,1077.3909815007598,880.9268271262207,1006.1538714631096,898.5462760450379,196.46415437453913,107.6075954180717,88.85655895646744,71.23711003765027,-17.61944891881717,88.85655895646744,1,1,79,198
27872142,27872142,51,91,0,128,away,0.21-0.26-0.53,0.26-0.28-0.47,15,10,1.0,1.0,0.1760590590940707,902.0267902166133,1071.4139757739888,955.8263810179243,1082.6092068716416,-169.38718555737546,-126.78282585371733,42.60435970365813,-53.799590801310956,-11.195231097652822,64.99482189896378,1,1,79,198
27872634,27872634,91,41,0,133,home,0.58-0.24-0.18,0.65-0.21-0.14,15,10,1.0,1.0,0.06998089640953656,1047.1411930270208,943.1120865221277,1082.0246391271342,927.1019470271884,104.0291065048931,154.92269209994572,50.89358559505263,-34.88344610011336,16.010139494939267,50.89358559505263,1,1,79,198
27872644,27872644,81,51,0,133,away,0.38-0.29-0.33,0.36-0.29-0.35,15,10,1.0,1.0,0.27193642820763897,866.394185581486,899.4801623355042,902.1653856807992,951.6406944093947,-33.08597675401825,-49.47530872859545,16.389331974577203,-35.771200099313205,-52.16053207389041,87.93173217320361,1,1,79,198
