,Unnamed: 0,HomeTeam,AwayTeam,Season,Round,Result,TrueForecast,CalculatedForecast,ELO_Rating_K,Variance,Density,RPS,HomeRating,AwayRating,Home_elo_rating,Away_elo_rating
314,314,0,107,0,7,draw,0.48-0.27-0.24,0.42-0.29-0.29,15,0,0.4526130653266332,0.13153258072569324,928.8940309918147,891.2758531745094,1004.8493839280834,1007.8965293278493
483,483,0,111,0,11,draw,0.16-0.23-0.61,0.43-0.28-0.29,15,0,0.4526130653266332,0.1332120212134174,924.6271876652164,1149.4061370578593,1003.214864226122,1000.0
651,651,0,115,0,15,home,0.24-0.27-0.49,0.41-0.29-0.30,15,0,0.4526130653266332,0.22017368335095067,921.3762254555894,1067.9171494604254,1003.1276434154324,1014.1190366847168
745,745,0,117,0,17,draw,0.21-0.26-0.54,0.42-0.29-0.29,15,0,0.4526130653266332,0.13110208270506934,926.3159572546659,1100.1810798406948,1009.1572582779033,1013.9431692906948
928,928,0,121,0,21,home,0.45-0.28-0.27,0.45-0.28-0.27,15,0,0.4526130653266332,0.19107602213673552,912.4382710249513,893.193854986246,1018.2871854499831,1004.9111831724623
1026,1026,0,123,0,23,away,0.38-0.29-0.33,0.50-0.27-0.23,15,0,0.4526130653266332,0.4184528510650497,896.9985498272373,928.425097528744,1023.8186714693865,975.0049768820927
1211,1211,0,127,0,27,away,0.06-0.11-0.83,0.40-0.29-0.31,15,0,0.4526130653266332,0.31539625012444483,922.8672946450816,1332.3889055835655,1013.6587779787877,1032.4889832451183
1405,1405,0,131,0,31,away,0.17-0.23-0.60,0.42-0.29-0.30,15,0,0.4526130653266332,0.3327925813463501,916.3222628189113,1136.1578605652553,1006.553653560724,1013.5716030950226
1500,1500,0,133,0,33,draw,0.17-0.24-0.59,0.42-0.29-0.29,15,0,0.4526130653266332,0.13174859818010418,922.8504887945883,1135.536162834797,992.0926316928212,994.2902668141496
1599,1599,0,135,0,35,away,0.29-0.29-0.42,0.43-0.29-0.29,15,0,0.4526130653266332,0.3446554359545421,917.5908686145993,1013.638462704762,990.4406541654288,989.5208674233984
1762,1762,0,139,0,39,away,0.22-0.26-0.51,0.35-0.29-0.35,15,0,0.4526130653266332,0.2718327325672947,926.2335690359979,1086.1967233240705,982.6777287615126,1032.2284965104368
1854,1854,0,141,0,41,away,0.21-0.26-0.53,0.34-0.29-0.37,15,0,0.4526130653266332,0.2547242127497412,925.4631902431469,1094.4363097143596,983.0374175101083,1045.221258558642
2019,2019,0,145,0,45,draw,0.36-0.29-0.35,0.40-0.29-0.31,15,0,0.4526130653266332,0.1284543353972895,934.594076771626,980.9760611069316,965.0918769455177,982.4825629007753
2122,2122,0,147,0,47,home,0.27-0.28-0.44,0.31-0.29-0.40,15,0,0.4526130653266332,0.316793808400041,925.6554779954756,1037.766214348515,958.7934963856948,1040.9205168975964
2313,2313,0,151,0,51,away,0.21-0.26-0.53,0.33-0.29-0.38,15,0,0.4526130653266332,0.2499702855013329,938.7213089399893,1109.0752577557557,976.3532751456717,1042.1167159289828
2413,2413,0,153,0,53,away,0.06-0.12-0.81,0.26-0.28-0.46,15,0,0.4526130653266332,0.17736389072124534,945.6893993069524,1340.493888730302,968.546126197093,1094.1378438356955
2508,2508,0,155,0,55,draw,0.37-0.29-0.34,0.41-0.29-0.30,15,0,0.4526130653266332,0.12982273088741386,946.3788439927499,984.9598600926784,962.024692131376,972.4099332196016
2780,2780,0,161,0,61,away,0.29-0.28-0.43,0.37-0.29-0.34,15,0,0.4526130653266332,0.2870041769730335,928.3725907297484,1031.0860649465226,956.5887819972667,995.2280727540692
2886,2886,0,163,0,63,away,0.42-0.29-0.30,0.41-0.29-0.30,15,0,0.4526130653266332,0.3279678181448277,922.3628294285287,927.3160859629984,943.5724655067436,953.8448353692078
3437,3437,0,175,0,75,away,0.52-0.26-0.22,0.44-0.28-0.28,15,0,0.4526130653266332,0.3529990277482983,909.2055916551437,847.1859997006308,944.5928348606147,938.1401874170165
3530,3530,0,177,0,77,home,0.63-0.22-0.15,0.43-0.28-0.28,15,0,0.4526130653266332,0.20218854287088825,913.3605035429463,774.7472918056629,946.0892314628882,942.2467705266553
3627,3627,0,179,0,79,draw,0.27-0.28-0.45,0.40-0.29-0.31,15,0,0.4526130653266332,0.12832271457746222,911.0553742698497,1024.9333424234892,956.2198845705956,974.3637454712737
3720,3720,0,181,0,81,home,0.49-0.27-0.24,0.50-0.27-0.23,15,0,0.4526130653266332,0.1507172570015103,915.6584276192436,872.4027338008107,951.7629202981788,900.6841917199988
3820,3820,0,183,0,83,home,0.19-0.25-0.56,0.26-0.28-0.46,15,0,0.4526130653266332,0.3750947347538464,917.8300422274041,1106.9774197239094,956.5603812171513,1077.4939418681163
3997,3997,0,187,0,87,away,0.36-0.29-0.35,0.45-0.28-0.27,15,0,0.4526130653266332,0.3659785611776741,904.0548838101648,950.7215833336712,964.9399373051172,949.9531172659214
4269,4269,0,193,0,93,away,0.29-0.29-0.43,0.28-0.28-0.44,15,0,0.4526130653266332,0.1943996076061686,912.2281549255824,1012.5806699352856,951.4763301879344,1061.9687590687759
4458,4458,0,197,0,97,home,0.31-0.29-0.41,0.35-0.29-0.36,15,0,0.4526130653266332,0.27509682330632257,917.224025086088,1003.4544069973932,944.6328773428777,997.4513554880956
4734,4734,0,96,0,103,draw,0.15-0.22-0.62,0.22-0.26-0.52,15,0,0.4526130653266332,0.15795964913424754,919.8604609527107,1154.4478104324921,956.2779126763637,1117.9870187076303
4904,4904,0,92,0,107,away,0.21-0.26-0.53,0.30-0.29-0.42,15,0,0.4526130653266332,0.21403116784813864,918.5736782816267,1088.0110514260232,967.5189281157651,1061.5174324672105
5076,5076,0,88,0,111,draw,0.29-0.29-0.42,0.40-0.29-0.31,15,0,0.4526130653266332,0.12893025294742835,922.254457045848,1021.6271508384967,960.3209467124941,975.120179072554
5526,5526,0,78,0,121,draw,0.44-0.28-0.28,0.33-0.29-0.38,15,0,0.4526130653266332,0.12649338689148626,918.9292524797467,911.2047261963237,957.2639263403636,1025.7578646679424
