Home,Away,Season,Round,Day,Result,true_forecast#home,true_forecast#draw,true_forecast#away,true_rating#Home,true_rating#Away,bm#odds#0,bm#odds#1,bm#odds#2,rps#metric,betting_returns#metric,logLikelihood#metric
3,0,0,0,1,away,0.03751100947927288,0.0770589155675453,0.8854300749531818,850.7777324239926,1341.5924243696852,24.20844953722455,12.083195107076268,1.2738472964202914,0.010344941080974189,"[(-10.0, 99.49481725686664), (-10.0, 25.947505443551897), (0.0, -0.0)]",-0.146731508639146
3,0,1,0,1,away,0.03203749432144798,0.06697133398201294,0.9009911716965391,835.8412545603614,1353.888994273715,28.310328298502128,13.839861653151063,1.2476403162960872,0.007756520463451303,"[(-10.0, 118.04761489412512), (-10.0, 31.173588418124414), (0.0, -0.0)]",-0.1259438405068921
3,0,2,0,1,away,0.03608405149268423,0.07446420487816507,0.8894517436291507,831.2768550334076,1328.8023749747654,25.157896980991833,12.489461934677305,1.2669863945167499,0.00964125639244824,"[(-10.0, 103.78916804502606), (-10.0, 27.15614925566498), (0.0, -0.0)]",-0.141330983131914
3,0,3,0,1,away,0.04768194672383308,0.09485874394864979,0.8574593093275171,852.560984561678,1301.618687513112,19.08712811766804,9.897174517593493,1.3233453528673738,0.01590284724062749,"[(-10.0, 76.33108047621255), (-10.0, 19.44409418984064), (0.0, -0.0)]",-0.18485270895673148
4,1,0,0,1,home,0.4306485753817201,0.2845553927489422,0.2847960318693377,828.3821428208494,824.9163885329592,2.2906693810692818,4.015667145419491,4.474019304085442,0.1653158915660328,"[(12.906693810692818, 0.3606976105763615), (-10.0, 1.9466097576229857), (-10.0, 1.1939962988217756)]",-0.7335339011924972
4,1,1,0,1,away,0.4874210962173051,0.2720302276530021,0.24054867612969275,846.0558129479948,804.44351867093,2.04708769620155,4.2846980064682025,5.3417840424106755,0.4596504110971109,"[(-0.0, -0.0), (-10.0, 2.7469765692429027), (43.41784042410676, 3.365143674111508)]",-1.580249507711106
4,1,2,0,1,away,0.5610147848882046,0.2482564089293263,0.1907288061824691,854.5350216043505,763.6547673122429,1.8047082821769507,4.809047491461287,6.8007155699959245,0.5370888307461297,"[(-0.0, -0.0), (-10.0, 4.306916287097328), (58.00715569995924, 7.015390356129803)]",-1.821717657723109
4,1,3,0,1,away,0.5470201292785457,0.25335457527379623,0.19962529544765809,858.9279173642518,777.4882653384249,1.8457776851676047,4.691439360543142,6.486781552210662,0.5223833647299978,"[(-0.0, -0.0), (-10.0, 3.957032097615847), (54.86781552210662, 6.229927443631073)]",-1.774456319157979
5,2,0,0,1,draw,0.7767988719709015,0.14355084831662315,0.07965027971247537,1223.972416636871,966.121053230341,1.3587745652784122,8.851013717679503,16.624483529472933,0.3298770816079953,"[(-0.0, -0.0), (78.51013717679504, 16.33176581009652), (-10.0, 31.594457790741277)]",-2.085221817026373
5,2,1,0,1,home,0.7610722469553586,0.15254053251483302,0.08638722052980836,1204.2107040480805,961.116191963927,1.382731698548243,8.294359683532056,15.309023951468038,0.02348609310715618,"[(0.0, -0.0), (-10.0, 14.675720058507867), (-10.0, 28.303177926573028)]",-0.22875085445435472
5,2,2,0,1,away,0.7410990547525483,0.1636970494358836,0.09520389581156806,1184.2422830059065,958.9608237181573,1.4146235054103615,7.6873188585487915,13.86872645377029,0.7261550071652596,"[(-0.0, -0.0), (-10.0, 12.869773604182653), (128.6872645377029, 24.699553587333263)]",-2.534326230102666
